Data da venda;Unidades;Faturamento;Venda por publicidade;SKU;Título do anúncio;Variação;Preço unitário de venda do anúncio (BRL);Tipo de anúncio;Cidade;Estado;Forma de entrega
07/10/2024;2;99,84;Sim;EKNH-T106;Ekaza Interruptor Módulo On Off Inteligente Wifi 10a Alexa;Cor : Branco | Especificação : 10A WiFi | Voltagem : 127/220V;49,92;Clássico;Ponta Grossa;Paraná;Correios e pontos de envio
07/10/2024;3;149,76;Não;EKNH-T106;Ekaza Interruptor Módulo On Off Inteligente Wifi 10a Alexa;Cor : Branco | Especificação : 10A WiFi | Voltagem : 127/220V;49,92;Clássico;Santo André;São Paulo;Mercado Envios Flex
07/10/2024;1;155;Sim;EKJS-T3188;Ekaza Câmera De Segurança Nuvem Dome Wi-fi Uhd 2k E Ip65;Conexão : WiFi | Cor : Branco;155;Clássico;São Paulo;São Paulo;Mercado Envios Flex
07/10/2024;1;199,99;Não;EKAT-T3075-4P;Interruptor 4x4 4 Botões Wi-fi Com 2 Tomdas Cor Preto Ekaza 110v/220v; ;199,99;Clássico;Campinas;São Paulo;Correios e pontos de envio
06/10/2024;1;40,94;Não;EKNX-T005;Tomada Inteligente Smart Wifi Controle Automação Ekaza 16a; ;40,94;Clássico;Capinzal;Santa Catarina;Correios e pontos de envio
06/10/2024;2;81,88;Não;EKNX-T005;Tomada Inteligente Smart Wifi Controle Automação Ekaza 16a; ;40,94;Clássico;São Luís;Maranhão;Correios e pontos de envio
06/10/2024;1;40,94;Não;EKNX-T005;Tomada Inteligente Smart Wifi Controle Automação Ekaza 16a; ;40,94;Clássico;São Bernardo do Campo;São Paulo;Mercado Envios Flex
06/10/2024;2;81,88;Não;EKNX-T005;Tomada Inteligente Smart Wifi Controle Automação Ekaza 16a; ;40,94;Clássico;Catanduvas;Paraná;Correios e pontos de envio
06/10/2024;1;150,41;Não;EKAT-T3010M;Ekaza Central De Automação Hub Zigbee 3.0 Wifi Ble Mesh;Cor : Azul;150,41;Clássico;Sorocaba;São Paulo;Correios e pontos de envio
06/10/2024;1;40,94;Sim;EKNX-T005;Tomada Inteligente Smart Wifi Controle Automação Ekaza 16a; ;40,94;Clássico;São Paulo;São Paulo;Mercado Envios Flex
